,Movie,Rating
4792,In America (2002),[0.03709922]
4800,"Lord of the Rings: The Return of the King, The (2003)",[0.03709922]
4785,Grass (1999),[0.03709922]
4781,Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa) (1987),[0.03709922]
4756,That Touch of Mink (1962),[0.03709922]
4812,Chasing Liberty (2004),[0.03709922]
4786,Spring Forward (1999),[0.03709922]
6470,Spider-Man 3 (2007),[0.03709662]
6466,In the Land of Women (2007),[0.03709662]
110,Jupiter's Wife (1994),[0.0369958]
500,Princess Caraboo (1994),[0.03695434]
8347,Divergent (2014),[0.03693624]
8234,Batman: Mystery of the Batwoman (2003),[0.03693624]
496,Spanking the Monkey (1994),[0.03693512]
3444,Basket Case (1982),[0.03688044]
2956,"Adventures of Ichabod and Mr. Toad, The (1949)",[0.03686869]
2348,Come See the Paradise (1990),[0.03680526]
2176,New Rose Hotel (1998),[0.03679904]
6158,Leprechaun 2 (1994),[0.03679196]
7402,Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989),[0.03678874]
6128,"Tuskegee Airmen, The (1995)",[0.03674952]
3884,Like Mike (2002),[0.0366406]
4462,Gigli (2003),[0.03661108]
1578,1984 (Nineteen Eighty-Four) (1984),[0.03659107]
7685,I Don't Know How She Does It (2011),[0.03658196]
7687,Contagion (2011),[0.03658196]
4386,"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",[0.03656493]
1270,"I Love You, I Love You Not (1996)",[0.03655674]
6693,"10,000 BC (2008)",[0.03655208]
8357,The Lego Movie (2014),[0.03654641]
8358,RoboCop (2014),[0.03654641]
8334,Only Lovers Left Alive (2013),[0.03654641]
8218,"Conjuring, The (2013)",[0.03654641]
8187,20 Feet from Stardom (Twenty Feet from Stardom) (2013),[0.03654641]
8198,World War Z (2013),[0.03654641]
8446,The Fault in Our Stars (2014),[0.03654641]
8321,Anchorman 2: The Legend Continues (2013),[0.03654641]
8482,Get on Up (2014),[0.03654641]
8364,"Zero Theorem, The (2013)",[0.03654641]
8418,Mulan II (2004),[0.03654641]
8487,White Frog (2012),[0.03654641]
8457,"Internet's Own Boy: The Story of Aaron Swartz, The (2014)",[0.03654641]
8213,Stuck in Love (2012),[0.03654641]
8472,Sex Tape (2014),[0.03654641]
8167,Epic (2013),[0.03654641]
8326,Haunter (2013),[0.03654641]
8476,"Signal, The (2014)",[0.03654641]
8259,"Family, The (2013)",[0.03654641]
8243,Lee Daniels' The Butler (2013),[0.03654641]
8466,Whiplash (2014),[0.03654641]
8219,Turbo (2013),[0.03654641]
8351,"I, Frankenstein (2014)",[0.03654641]
8282,"Counselor, The (2013)",[0.03654641]
8245,About Time (2013),[0.03654641]
8157,Syrup (2013),[0.03654641]
8462,Planes: Fire & Rescue (2014),[0.03654641]
8449,22 Jump Street (2014),[0.03654641]
8456,Nick Fury: Agent of S.H.I.E.L.D. (1998),[0.03654641]
8398,King of Comedy (Hei kek ji wong) (1999),[0.03654641]
8392,Puss in Boots: The Three Diablos (2012),[0.03654641]
8403,"Unknown Known, The (2013)",[0.03654641]
8333,Highlander: The Search for Vengeance (2007),[0.03654641]
8313,Her (2013),[0.03654641]
8172,Down Terrace (2009),[0.03654641]
8395,Captain America: The Winter Soldier (2014),[0.03654641]
8410,Cold in July (2014),[0.03654641]
8372,"Grand Budapest Hotel, The (2014)",[0.03654641]
8209,The Spectacular Now (2013),[0.03654641]
8240,Blackfish (2013),[0.03654641]
8455,Jersey Boys (2014),[0.03654641]
8477,The Expendables 3 (2014),[0.03654641]
8281,UnHung Hero (2013),[0.03654641]
8286,All Is Lost (2013),[0.03654641]
8285,12 Years a Slave (2013),[0.03654641]
8297,47 Ronin (2013),[0.03654641]
8166,"Fast & Furious 6 (Fast and the Furious 6, The) (2013)",[0.03654641]
8439,Mission: Impossible - Rogue Nation (2015),[0.03654641]
8365,Winter's Tale (2014),[0.03654641]
8373,"Oversimplification of Her Beauty, An (2012)",[0.03654641]
8279,"Thief of Paris, The (Le voleur) (1967)",[0.03654641]
8338,Hunting Elephants (2013),[0.03654641]
8405,"Brain Smasher... A Love Story (Bouncer and the Lady, The) (1993)",[0.03654641]
8452,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),[0.03654641]
8340,Freezer (2014),[0.03654641]
8178,After Earth (2013),[0.03654641]
8269,Crystal Fairy & the Magical Cactus and 2012 (2013),[0.03654641]
8339,Dragon Ball Z: Battle of Gods (2013),[0.03654641]
8306,Homefront (2013),[0.03654641]
4221,Tenebre (1982),[0.03650194]
296,Virtuosity (1995),[0.03647978]
5283,"Super, The (1991)",[0.03646338]
6921,Doubt (2008),[0.03644138]
6074,Paradise Now (2005),[0.03642366]
5180,Police Academy: Mission to Moscow (1994),[0.0362309]
1064,Grease 2 (1982),[0.03615355]
6353,Harsh Times (2006),[0.03604524]
5214,Show Boat (1951),[0.03600285]
5288,Biggles (1986),[0.03597879]
5785,"Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",[0.03594789]
1324,Twilight (1998),[0.03592774]
6952,My Bloody Valentine 3-D (2009),[0.03592261]
7020,Flatfoot on the Nile (Piedone d'Egitto) (1980),[0.03588964]
8524,Tusk (2014),[0.03587647]
8522,Angel's Egg (Tenshi no tamago) (1985),[0.03587647]
8526,Horns (2014),[0.03587647]
3249,Alice (1990),[0.03586485]
4254,"Meteor Man, The (1993)",[0.03584977]
4168,Love Liza (2002),[0.03583869]
3688,Slackers (2002),[0.03582357]
3681,Maelström (2000),[0.03582357]
3342,My Stepmother Is an Alien (1988),[0.03575632]
7394,"Expendables, The (2010)",[0.03571959]
6017,"Bittersweet Life, A (Dalkomhan insaeng) (2005)",[0.03569381]
9141,Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),[0.03565005]
900,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),[0.03559161]
5410,Scarface (1932),[0.03555843]
3949,City by the Sea (2002),[0.03546482]
4042,"Woman Next Door, The (Femme d'à côté, La) (1981)",[0.03542975]
8851,San Andreas (2015),[0.03542711]
6226,Marie Antoinette (2006),[0.03536832]
6525,Broken Arrow (1950),[0.03534096]
1288,Scream 2 (1997),[0.03531291]
4495,Atragon (Kaitei Gunkan) (1963),[0.03530347]
3579,"Devil's Backbone, The (Espinazo del diablo, El) (2001)",[0.0351341]
9556,"Norm Macdonald: Hitler's Dog, Gossip & Trickery (2017)",[0.0351142]
4782,Adam's Rib (1949),[0.03506955]
6451,Blades of Glory (2007),[0.03501707]
6461,Disturbia (2007),[0.03501707]
2533,Date with an Angel (1987),[0.03495717]
5382,National Treasure (2004),[0.03494547]
7006,"Fast & Furious (Fast and the Furious 4, The) (2009)",[0.03492614]
5208,"Christmas Carol, A (Scrooge) (1951)",[0.03492563]
7950,"Immature, The (Immaturi) (2011)",[0.03482384]
3920,xXx (2002),[0.03481284]
3053,Born in East L.A. (1987),[0.03471612]
4380,Shenandoah (1965),[0.03465363]
4529,Lost in Translation (2003),[0.03455584]
4280,Boat Trip (2003),[0.03442491]
5797,Constantine (2005),[0.03435587]
3591,"Cheap Detective, The (1978)",[0.03429044]
3063,"Fourth Protocol, The (1987)",[0.03407925]
1550,Peter Pan (1953),[0.03403747]
4967,Wit (2001),[0.03400719]
5428,"Miracle of Morgan's Creek, The (1944)",[0.0339321]
8646,PK (2014),[0.03390082]
8654,Terminator Genisys (2015),[0.03390082]
8660,Houdini (2014),[0.03390082]
6015,Wallace & Gromit in The Curse of the Were-Rabbit (2005),[0.03389874]
8680,Oblivion 2: Backlash (1996),[0.03386699]
4191,Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),[0.03385571]
5277,"Bachelor and the Bobby-Soxer, The (1947)",[0.03385542]
6154,Find Me Guilty (2006),[0.0338358]
7546,Battle: Los Angeles (2011),[0.03370723]
7623,Everything Must Go (2010),[0.03370723]
7555,Mesrine: Public Enemy #1 (L'ennemi public n°1) (2008),[0.03370723]
2383,Onegin (1999),[0.0336962]
16,Sense and Sensibility (1995),[0.03365365]
2487,Reindeer Games (2000),[0.03363186]
8555,Generation War (2013),[0.03360919]
8097,Angst  (1983),[0.03357029]
8114,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),[0.03357029]
8134,Evil Dead (2013),[0.03357029]
8131,Phil Spector (2013),[0.03357029]
8090,Sightseers (2012),[0.03357029]
8132,"Host, The (2013)",[0.03357029]
8122,Oz the Great and Powerful (2013),[0.03357029]
8115,Maniac Cop 2 (1990),[0.03357029]
8101,"ABCs of Death, The (2012)",[0.03357029]
8091,Hansel & Gretel: Witch Hunters (2013),[0.03357029]
8096,"Liability, The (2012)",[0.03357029]
8092,Jim Jefferies: Fully Functional (EPIX) (2012),[0.03357029]
8124,"Incredible Burt Wonderstone, The (2013)",[0.03357029]
8111,Snitch (2013),[0.03357029]
4901,"Girl Next Door, The (2004)",[0.03355164]
1210,187 (One Eight Seven) (1997),[0.03354621]
3810,Cadillac Man (1990),[0.0334238]
4307,Chasing Papi (a.k.a. Papi Chulo) (2003),[0.03338045]
969,Back to the Future (1985),[0.03332364]
965,Unforgiven (1992),[0.03332364]
2281,"Taming of the Shrew, The (1967)",[0.03327259]
1072,Citizen Ruth (1996),[0.03326273]
5567,Other People's Money (1991),[0.03325439]
5565,Mannequin 2: On the Move (1991),[0.03325439]
5010,Jason and the Argonauts (1963),[0.03313357]
6453,Grindhouse (2007),[0.03311629]
6183,Go for Zucker! (Alles auf Zucker!) (2004),[0.03308234]
3341,Moon Over Parador (1988),[0.03307593]
8574,Exodus: Gods and Kings (2014),[0.03303251]
7007,In the Loop (2009),[0.03300998]
6993,Sunshine Cleaning (2008),[0.03300998]
4177,Alice Adams (1935),[0.03293696]
1777,"Money Pit, The (1986)",[0.03293214]
8701,Jim Jefferies: I Swear to God (2009),[0.03280214]
8699,Untitled Spider-Man Reboot (2017),[0.03280214]
7132,Gamer (2009),[0.03276214]
7727,This Must Be the Place (2011),[0.03276181]
6152,She's the Man (2006),[0.03273396]
3346,"Return of the Living Dead, The (1985)",[0.03272061]
3405,"Package, The (1989)",[0.03272061]
3357,Twins (1988),[0.03272061]
8580,Miss Meadows (2014),[0.03261734]
6950,"Gamers, The: Dorkness Rising (2008)",[0.03252414]
5723,Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo) (2004),[0.0324249]
8913,The Last Witch Hunter (2015),[0.03239365]
1960,Election (1999),[0.03237838]
177,White Man's Burden (1995),[0.03237442]
6149,Ice Age 2: The Meltdown (2006),[0.03236928]
9367,Moonlight,[0.03236786]
9390,31 (2016),[0.03236786]
9360,Body (2015),[0.03236786]
9381,Your Name. (2016),[0.03236786]
9394,Maximum Ride (2016),[0.03236786]
9386,David Cross: Making America Great Again (2016),[0.03236786]
9365,Tom Segura: Mostly Stories (2016),[0.03236786]
9377,Steins;Gate the Movie: The Burden of Déjà vu (2013),[0.03236786]
9406,London Town (2016),[0.03236786]
9408,Keeping Up with the Joneses (2016),[0.03236786]
9393,Storks (2016),[0.03236786]
9352,The Infiltrator (2016),[0.03236786]
9398,Amanda Knox (2016),[0.03236786]
9395,Endless Poetry (2016),[0.03236786]
9375,Imperium (2016),[0.03236786]
9348,The Forbidden Dance (1990),[0.03236786]
9356,Bad Moms (2016),[0.03236786]
9370,Bridget Jones's Baby (2016),[0.03236786]
9373,The Girl on the Train (2016),[0.03236786]
9349,Jim Jefferies: Freedumb (2016),[0.03236786]
9357,Hell or High Water (2016),[0.03236786]
3036,Coffy (1973),[0.03235307]
5587,"Darkman II: Return of Durant, The (1995)",[0.0321109]
5299,"Manchurian Candidate, The (2004)",[0.03207107]
5791,Howl's Moving Castle (Hauru no ugoku shiro) (2004),[0.03205654]
5772,Rocco and His Brothers (Rocco e i suoi fratelli) (1960),[0.03205654]
8501,"Two Days, One Night (Deux jours, une nuit) (2014)",[0.03205074]
3199,"Man Who Cried, The (2000)",[0.03201159]
8489,Jupiter Ascending (2015),[0.03198588]
8761,The Wedding Ringer (2015),[0.03197411]
6671,Rambo (Rambo 4) (2008),[0.03190253]
2833,Groove (2000),[0.03188581]
2443,Patriot Games (1992),[0.03180168]
2802,Shaft (2000),[0.03178978]
5054,Gidget (1959),[0.03168655]
6690,Taxi to the Dark Side (2007),[0.03155062]
6694,"Bank Job, The (2008)",[0.03155062]
6697,Funny Games U.S. (2007),[0.03155062]
6031,"Good Night, and Good Luck. (2005)",[0.03153992]
8949,Vacation (2015),[0.03153633]
6797,Watchmen (2009),[0.03134948]
7379,Cherrybomb (2009),[0.03127552]
6113,Underworld: Evolution (2006),[0.03127363]
6447,"Hills Have Eyes II, The (2007)",[0.03125555]
3586,Midway (1976),[0.03123876]
3219,Divided We Fall (Musíme si pomáhat) (2000),[0.03110699]
1075,Tin Men (1987),[0.03110294]
6723,Nim's Island (2008),[0.03108437]
6725,Forgetting Sarah Marshall (2008),[0.03108437]
4078,"Crime of Father Amaro, The (Crimen del padre Amaro, El) (2002)",[0.03102558]
4066,Casino Royale (1967),[0.03102558]
4060,Jackass: The Movie (2002),[0.03102558]
4139,25th Hour (2002),[0.03102558]
4137,"Lord of the Rings: The Two Towers, The (2002)",[0.03102558]
4132,Star Trek: Nemesis (2002),[0.03102558]
7282,Dorian Gray (2009),[0.03102304]
9425,The African Doctor (2016),[0.03096029]
7418,Howl (2010),[0.03093274]
7303,"Bone Man, The (Der Knochenmann) (2009)",[0.03088934]
7329,"Nightmare on Elm Street, A (2010)",[0.03088934]
7346,Sex and the City 2 (2010),[0.03088934]
7344,Baarìa (2009),[0.03088934]
7259,Persuasion (2007),[0.03088934]
7290,Little Ashes (2008),[0.03088934]
7351,Letters to Juliet (2010),[0.03088934]
7338,Blue Valentine (2010),[0.03088934]
7294,Women in Trouble (2009),[0.03088934]
7326,Three Men and a Cradle (3 hommes et un couffin) (1985),[0.03088934]
7352,Exam (2009),[0.03088934]
7313,Wild China (2008),[0.03088934]
7327,"Sky Crawlers, The (Sukai kurora) (2008)",[0.03088934]
7802,Intouchables (2011),[0.0308221]
1264,Chairman of the Board (1998),[0.03064613]
8073,Promised Land (2012),[0.03061075]
6994,Kung Fu Panda: Secrets of the Furious Five (2008),[0.03060624]
6586,"Darjeeling Limited, The (2007)",[0.03049711]
8596,Double Trouble (1992),[0.03040621]
4056,Piranha II: The Spawning (1981),[0.03038859]
2730,Rent-A-Cop (1988),[0.03038815]
5912,"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",[0.03037271]
5532,"Decalogue, The (Dekalog) (1989)",[0.03035844]
5527,White Nights (1985),[0.03035844]
646,High School High (1996),[0.03034376]
2273,Creepshow (1982),[0.03030898]
2354,End of Days (1999),[0.03030898]
2364,Grand Illusion (La grande illusion) (1937),[0.03030898]
2377,Anna and the King (1999),[0.03030898]
2216,"Dirty Dozen, The (1967)",[0.03030898]
4793,My Flesh and Blood (2003),[0.0302991]
2987,"Bounty, The (1984)",[0.03024518]
3202,City Slickers (1991),[0.03017553]
3127,Navy Seals (1990),[0.03008302]
4825,"Adventures of Ford Fairlane, The (1990)",[0.03007238]
2081,"Acid House, The (1998)",[0.03007204]
9295,The BFG (2016),[0.03004631]
9020,The Electric Hotel (1908),[0.03004631]
9037,Fort Tilden (2014),[0.03004631]
9024,Straight Outta Compton (2015),[0.03004631]
9160,Truth (2015),[0.03004631]
9338,Goat (2016),[0.03004631]
9143,The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature (1979),[0.03004631]
9196,Moonwalkers (2015),[0.03004631]
9235,Hunt for the Wilderpeople (2016),[0.03004631]
9236,Rabbits (2002),[0.03004631]
9106,Confessions of a Dangerous Mind (2002),[0.03004631]
9125,Blue Mountain State: The Rise of Thadland (2015),[0.03004631]
9192,Close Range (2015),[0.03004631]
9102,Slow Learners (2015),[0.03004631]
9225,Desierto (2016),[0.03004631]
9339,Marauders (2016),[0.03004631]
9269,The Man Who Knew Infinity (2016),[0.03004631]
9291,The Shallows (2016),[0.03004631]
9268,00 Schneider - Jagd auf Nihil Baxter (1994),[0.03004631]
9133,Lost in the Sun (2015),[0.03004631]
9054,Beasts of No Nation (2015),[0.03004631]
9122,Formula of Love (1984),[0.03004631]
9224,Whiskey Tango Foxtrot (2016),[0.03004631]
9310,Swiss Army Man (2016),[0.03004631]
9337,Indignation (2016),[0.03004631]
9296,My Scientology Movie (2016),[0.03004631]
7060,"Hurt Locker, The (2008)",[0.02997954]
1520,Hocus Pocus (1993),[0.02997884]
7241,"Dennis the Menace Christmas, A (2007)",[0.02995716]
2480,Black Tar Heroin: The Dark End of the Street (2000),[0.02993048]
6915,Shrek the Halls (2007),[0.02990635]
556,Song of the Little Road (Pather Panchali) (1955),[0.02982243]
2479,Beautiful People (1999),[0.02980923]
1521,"Honey, I Blew Up the Kid (1992)",[0.02976183]
6970,Futurama: Into the Wild Green Yonder (2009),[0.02974134]
6966,Push (2009),[0.02974134]
1616,Rosemary's Baby (1968),[0.02974069]
6201,United 93 (2006),[0.02967702]
6262,"Secret Life of Words, The (2005)",[0.02967702]
6245,Strangers with Candy (2005),[0.02967702]
6244,Babel (2006),[0.02967702]
6131,Block Party (a.k.a. Dave Chappelle's Block Party) (2005),[0.02967317]
6132,Imagine Me & You (2005),[0.02967317]
2814,"Blood In, Blood Out (1993)",[0.02967099]
4877,Flesh & Blood (1985),[0.0296496]
381,Cops and Robbersons (1994),[0.02962434]
6785,Frosty the Snowman (1969),[0.02959598]
7088,"Collector, The (2009)",[0.0295833]
344,"Low Down Dirty Shame, A (1994)",[0.02957803]
4337,Marooned in Iraq (Gomgashtei dar Aragh) (2002),[0.02956103]
4398,Good Burger (1997),[0.02956103]
4268,"Talk of the Town, The (1942)",[0.02956103]
4279,Talent for the Game (1991),[0.02956103]
4459,"Blood of Heroes, The (Salute of the Jugger, The) (1989)",[0.02956103]
4450,"Mondays in the Sun (Lunes al sol, Los) (2002)",[0.02956103]
4290,Raising Victor Vargas (2002),[0.02956103]
4446,Seabiscuit (2003),[0.02956103]
4411,Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),[0.02956103]
4295,"Good Thief, The (2002)",[0.02956103]
4313,Straw Dogs (1971),[0.02956103]
4410,Fulltime Killer (Chuen jik sat sau) (2001),[0.02956103]
4408,28 Days Later (2002),[0.02956103]
4404,Dumb and Dumberer: When Harry Met Lloyd (2003),[0.02956103]
4315,"Andromeda Strain, The (1971)",[0.02956103]
4399,Jubilee (1977),[0.02956103]
4397,"Unforgiven, The (1960)",[0.02956103]
4349,High Society (1956),[0.02956103]
4316,Fahrenheit 451 (1966),[0.02956103]
4393,"Long, Hot Summer, The (1958)",[0.02956103]
4390,Belle époque (1992),[0.02956103]
4384,Two Mules for Sister Sara (1970),[0.02956103]
4383,"Railway Children, The (1970)",[0.02956103]
4375,Animals are Beautiful People (1974),[0.02956103]
4371,Murder on a Sunday Morning (Un coupable idéal) (2001),[0.02956103]
4369,Silk Stockings (1957),[0.02956103]
4329,"Decade Under the Influence, A (2003)",[0.02956103]
4368,Once a Thief (Zong heng si hai) (1991),[0.02956103]
4336,"Dancer Upstairs, The (2002)",[0.02956103]
4366,Whale Rider (2002),[0.02956103]
4361,"Italian Job, The (2003)",[0.02956103]
4353,Cinemania (2002),[0.02956103]
4287,Head of State (2003),[0.02956103]
4354,"Spanish Apartment, The (L'auberge espagnole) (2002)",[0.02956103]
4106,They (2002),[0.02953385]
1547,"Muppet Christmas Carol, The (1992)",[0.02950153]
1741,Elizabeth (1998),[0.02949973]
2743,For a Few Dollars More (Per qualche dollaro in più) (1965),[0.02949157]
5474,"Claire's Knee (Genou de Claire, Le) (1970)",[0.0293832]
6687,"Other Boleyn Girl, The (2008)",[0.0293153]
1899,Rollercoaster (1977),[0.0292945]
1935,Doug's 1st Movie (1999),[0.0292945]
1949,Cookie's Fortune (1999),[0.0292945]
1785,Police Academy 6: City Under Siege (1989),[0.02920454]
7009,17 Again (2009),[0.02905692]
5061,Zelig (1983),[0.02904082]
8506,"Guest, The (2014)",[0.02903986]
8512,Beautiful Losers (2008),[0.02903986]
8509,The Drop (2014),[0.02903986]
8960,Da geht noch was! (2013),[0.02902676]
8954,The Squeeze (2015),[0.02902676]
8963,Batman v Superman: Dawn of Justice (2016),[0.02902676]
8983,Feast (2014),[0.02902676]
8972,Dragon Ball Z Gaiden: The Plot to Destroy the Saiyans (1993),[0.02902676]
8975,Sorrow (2015),[0.02902676]
8967,Amy (2015),[0.02902676]
8959,Kiss me Kismet (2006),[0.02902676]
8976,7 Days in Hell (2015),[0.02902676]
8969,Carnival Magic (1981),[0.02902676]
1297,Mr. Magoo (1997),[0.02900095]
4145,Body of Evidence (1993),[0.02898774]
3557,Focus (2001),[0.02896233]
6357,"Nativity Story, The (2006)",[0.02889136]
7659,Our Idiot Brother (2011),[0.0288856]
2504,Never Cry Wolf (1983),[0.02886766]
2992,Wall Street (1987),[0.02882047]
6317,Employee of the Month (2006),[0.02875644]
5164,Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003),[0.02874432]
8079,It's Such a Beautiful Day (2012),[0.02871973]
3702,Hart's War (2002),[0.02869709]
3470,Jay and Silent Bob Strike Back (2001),[0.02855237]
1458,Friday the 13th Part VIII: Jason Takes Manhattan (1989),[0.02853083]
2547,Final Destination (2000),[0.02849131]
4685,Highlander II: The Quickening (1991),[0.02843641]
4284,"Awful Truth, The (1937)",[0.02841852]
5786,"Trou, Le (Hole, The) (Night Watch, The) (1960)",[0.02837093]
6579,Good Luck Chuck (2007),[0.02832876]
5141,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),[0.02832662]
4238,"Red Badge of Courage, The (1951)",[0.02829009]
6927,"Wrestler, The (2008)",[0.02823959]
6918,"Day the Earth Stood Still, The (2008)",[0.02823959]
6919,Che: Part One (2008),[0.02823959]
6924,"Reader, The (2008)",[0.02823959]
4136,Morvern Callar (2002),[0.02822379]
2527,Who's Harry Crumb? (1989),[0.0281905]
589,Last Dance (1996),[0.02809351]
6508,Death Proof (2007),[0.02807758]
8685,Warcraft (2016),[0.02805471]
4743,"Birth of a Nation, The (1915)",[0.02800949]
7118,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",[0.02798441]
7119,9 (2009),[0.02798441]
7096,12 Rounds (2009),[0.02798441]
7121,"White Ribbon, The (Das weiße Band) (2009)",[0.02798441]
2407,Stalag 17 (1953),[0.02795901]
8731,The End of the Tour (2015),[0.02793199]
8691,Deadpool (2016),[0.02768444]
8694,Thor: Ragnarok (2017),[0.02768444]
8690,Fantastic Four (2015),[0.02768444]
5256,Roxanne (1987),[0.02767206]
1710,Strangeland (1998),[0.02761277]
5931,War of the Worlds (2005),[0.02758776]
2645,"Filth and the Fury, The (2000)",[0.02754988]
6450,"Lookout, The (2007)",[0.0274767]
8902,Trevor Noah: African American (2013),[0.0271819]
6917,Wallace and Gromit in 'A Matter of Loaf and Death' (2008),[0.02707455]
4608,School of Rock (2003),[0.0270697]
8791,Unfinished Business (2015),[0.02703796]
8792,Ghost in the Shell Arise - Border 1: Ghost Pain (2013),[0.02703796]
8776,"Honey, We Shrunk Ourselves (1997)",[0.02703796]
8779,Johnny Express (2014),[0.02703796]
8798,The Cobbler (2015),[0.02703796]
8785,Focus (2015),[0.02703796]
8777,Stitch! The Movie (2003),[0.02703796]
8778,Hot Tub Time Machine 2 (2015),[0.02703796]
8786,Marvel One-Shot: Item 47 (2012),[0.02703796]
8783,Reality (2014),[0.02703796]
1628,Beetlejuice (1988),[0.02702089]
6573,Tekkonkinkreet (Tekkon kinkurîto) (2006),[0.02699612]
6007,"History of Violence, A (2005)",[0.02691308]
5315,Exorcist: The Beginning (2004),[0.02690647]
8561,Life Partners (2014),[0.02690571]
8564,Stalingrad (2013),[0.02690571]
8563,New Kids Nitro (2011),[0.02690571]
8738,Going Clear: Scientology and the Prison of Belief (2015),[0.02686119]
1294,"Horse Whisperer, The (1998)",[0.02683356]
2118,Iron Eagle (1986),[0.02678097]
850,"People vs. Larry Flynt, The (1996)",[0.02677653]
7112,It Might Get Loud (2008),[0.02675348]
5090,"Thing Called Love, The (1993)",[0.0267463]
5616,Purgatory (1999),[0.02669594]
5048,"Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)",[0.02663766]
4749,"Shot in the Dark, A (1964)",[0.02646268]
2416,Fast Times at Ridgemont High (1982),[0.02640423]
2972,Diamonds Are Forever (1971),[0.02637861]
4255,Volcano High (Whasango) (2001),[0.02633136]
6561,Atonement (2007),[0.0263193]
3575,Novocaine (2001),[0.0262699]
1325,U.S. Marshals (1998),[0.02626151]
5427,Day of Wrath (Vredens dag) (1943),[0.02620403]
5426,Tales of Manhattan (1942),[0.02620403]
5318,Suspect Zero (2004),[0.02620403]
5291,"Prime of Miss Jean Brodie, The (1969)",[0.02620403]
5402,Sherlock Jr. (1924),[0.02620403]
5414,Fury (1936),[0.02620403]
5326,"Vitelloni, I (a.k.a. The Young and the Passionate) (1953)",[0.02620403]
5418,Captains Courageous (1937),[0.02620403]
5407,"Andalusian Dog, An (Chien andalou, Un) (1929)",[0.02620403]
5416,Mr. Deeds Goes to Town (1936),[0.02620403]
5319,Warriors of Heaven and Earth (Tian di ying xiong) (2003),[0.02620403]
5413,"Atalante, L' (1934)",[0.02620403]
5334,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",[0.02620403]
5323,Alice Doesn't Live Here Anymore (1974),[0.02620403]
5424,Here Comes Mr. Jordan (1941),[0.02620403]
455,Robin Hood: Men in Tights (1993),[0.02616473]
6942,Zeitgeist: Addendum (2008),[0.02614813]
1080,Ghosts of Mississippi (1996),[0.02607004]
4681,The Great Train Robbery (1978),[0.02602481]
6430,Babylon 5: The Gathering (1993),[0.02599884]
5796,Bride & Prejudice (2004),[0.02591436]
5515,Boy Meets Girl (1984),[0.02585079]
7413,"Social Network, The (2010)",[0.0258258]
6445,Pride (2007),[0.02581436]
3257,"Fall of the House of Usher, The (House of Usher) (1960)",[0.0257675]
7339,Killers (2010),[0.02575796]
7542,"Mechanic, The (2011)",[0.0257528]
7425,Middle Men (2009),[0.0257528]
7479,"Tourist, The (2010)",[0.0257528]
7453,Due Date (2010),[0.0257528]
7657,Blitz (2011),[0.0257528]
7461,"Next Three Days, The (2010)",[0.0257528]
7615,"Roommate, The (2011)",[0.0257528]
7653,Mike's New Car (2002),[0.0257528]
7663,Terri (2011),[0.0257528]
7513,Down Argentine Way (1940),[0.0257528]
7518,I Spit on Your Grave (2010),[0.0257528]
7662,Rise of the Planet of the Apes (2011),[0.0257528]
7665,"Help, The (2011)",[0.0257528]
7443,Restrepo (2010),[0.0257528]
7545,I Am Number Four (2011),[0.0257528]
7664,"Change-Up, The (2011)",[0.0257528]
7515,Limitless (2011),[0.0257528]
7430,Devil (2010),[0.0257528]
7656,Paper Birds (Pájaros de papel) (2010),[0.0257528]
7505,"Warrior's Way, The (2010)",[0.0257528]
7510,Day & Night (2010),[0.0257528]
7544,"Eagle, The (2011)",[0.0257528]
7640,Between the Folds (2008),[0.0257528]
7607,Mothra (Mosura) (1961),[0.0257528]
7487,"Company Men, The (2010)",[0.0257528]
7614,Across the Hall (2009),[0.0257528]
7592,Atlas Shrugged: Part 1 (2011),[0.0257528]
7582,Into Eternity (2010),[0.0257528]
7641,Delhi Belly (2011),[0.0257528]
7512,"Dilemma, The (2011)",[0.0257528]
7660,SUBWAYStories: Tales from the Underground (1997),[0.0257528]
7506,Season of the Witch (2011),[0.0257528]
7603,Soul Surfer (2011),[0.0257528]
7645,Drive (2011),[0.0257528]
7482,All Good Things (2010),[0.0257528]
7450,Hereafter (2010),[0.0257528]
7525,Girls About Town (1931),[0.0257528]
